date,close,volume
2005-04-08,1003.450,14762500.000
2005-04-11,995.420,15936100.000
2005-04-12,978.700,10226200.000
2005-04-13,1000.900,16071700.000
2005-04-14,986.970,12945700.000
2005-04-15,974.080,10409000.000
2005-04-18,963.770,8598400.000
2005-04-19,965.890,9212620.000
2005-04-20,950.870,8850700.000
2005-04-21,943.980,9946150.000
2005-04-22,939.100,10691900.000
2005-04-25,930.070,11470500.000
2005-04-26,937.080,11690500.000
2005-04-27,926.600,10780600.000
2005-04-28,942.070,14343500.000
2005-04-29,932.400,11235400.000
2005-05-09,909.170,8529110.000
2005-05-10,913.080,10494300.000
2005-05-11,901.850,9042050.000
2005-05-12,885.820,10228700.000
2005-05-13,887.540,11244900.000
2005-05-16,875.270,8224289.000
2005-05-17,881.460,8772270.000
2005-05-18,883.200,7878610.000
2005-05-19,884.170,8149579.000
2005-05-20,882.760,7226679.000
2005-05-23,863.340,7279800.000
2005-05-24,868.460,9206929.000
2005-05-25,868.450,7238560.000
2005-05-26,857.330,6622789.000
2005-05-27,849.510,7749979.000
2005-05-30,855.610,6971579.000
2005-05-31,855.950,7047820.000
2005-06-01,837.530,7902300.000
2005-06-02,818.380,9508660.000
2005-06-03,818.030,7936060.000
2005-06-06,839.000,9009189.000
2005-06-07,837.280,13067100.000
2005-06-08,905.770,32907800.000
2005-06-09,912.600,33141800.000
2005-06-10,894.560,22391500.000
2005-06-13,892.960,15628000.000
2005-06-14,883.540,14343600.000
2005-06-15,866.830,11454100.000
2005-06-16,879.240,11049700.000
2005-06-17,880.340,14963000.000
2005-06-20,906.260,18992100.000
2005-06-21,896.170,12774800.000
2005-06-22,900.650,10478100.000
2005-06-23,893.570,9509310.000
2005-06-24,898.300,8918739.000
2005-06-27,916.040,16545400.000
2005-06-28,903.720,10402200.000
2005-06-29,898.900,10806700.000
2005-06-30,878.690,10855500.000
2005-07-01,859.490,10094600.000
2005-07-04,855.930,8840279.000
2005-07-05,849.680,7992689.000
2005-07-06,842.560,6898310.000
2005-07-07,844.730,5962460.000
2005-07-08,829.490,7221000.000
2005-07-11,824.100,8439010.000
2005-07-12,851.820,14989900.000
2005-07-13,846.230,9398839.000
2005-07-14,849.590,9361970.000
2005-07-15,841.000,8889560.000
2005-07-18,832.990,8500000.000
2005-07-19,835.610,7891820.000
2005-07-20,842.640,8526470.000
2005-07-21,843.990,8366100.000
2005-07-22,859.460,21451400.000
2005-07-25,856.860,11816100.000
2005-07-26,876.480,21826800.000
2005-07-27,894.010,20409500.000
2005-07-28,890.890,20622500.000
2005-07-29,888.160,13397400.000
2005-08-01,891.610,11808300.000
2005-08-02,903.600,14292500.000
2005-08-03,909.570,25786300.000
2005-08-04,904.150,14519300.000
2005-08-05,923.800,19123800.000
2005-08-08,927.470,21608900.000
2005-08-09,933.090,19532900.000
2005-08-10,940.370,21515800.000
2005-08-11,953.990,27073700.000
2005-08-12,938.320,29168100.000
2005-08-15,954.500,20430800.000
2005-08-16,945.060,23861800.000
2005-08-17,953.010,21457800.000
2005-08-18,920.670,31855300.000
2005-08-19,923.040,22242700.000
2005-08-22,931.670,16031000.000
2005-08-23,923.410,15406500.000
2005-08-24,930.650,15959700.000
2005-08-25,930.120,16292100.000
2005-08-26,928.260,15429800.000
2005-08-29,917.370,15462300.000
2005-08-30,914.880,12438200.000
2005-08-31,927.920,14623600.000
2005-09-01,944.560,22306400.000
2005-09-02,947.870,18614400.000
2005-09-05,952.720,17843300.000
2005-09-06,936.610,21222300.000
2005-09-07,952.760,19608500.000
2005-09-08,955.280,22424400.000
2005-09-09,949.070,16219300.000
2005-09-12,949.510,11672600.000
2005-09-13,963.770,16579400.000
2005-09-14,970.190,19958300.000
2005-09-15,969.600,16377700.000
2005-09-16,967.490,13978600.000
2005-09-19,971.140,14737400.000
2005-09-20,961.920,18636600.000
2005-09-21,944.410,18541900.000
2005-09-22,923.270,18115500.000
2005-09-23,916.150,11547600.000
2005-09-26,918.480,8836239.000
2005-09-27,904.210,11086100.000
2005-09-28,903.720,8850310.000
2005-09-29,915.970,11939000.000
2005-09-30,917.390,9001429.000
2005-10-10,907.320,7158450.000
2005-10-11,919.720,7758300.000
2005-10-12,923.480,12208900.000
2005-10-13,916.500,10828900.000
2005-10-14,904.830,10123900.000
2005-10-17,897.620,10552500.000
